"Locality","cc","id","Taxon","MaxAge","MinAge","Rotated.Lat","Rotated.Lon","Area","genus"
"Western Cape","ZA",1532,"Pristerodon",259.51,254.14,-60.8508,-19.3342,1,"Pristerodon"
"Western Cape","ZA",1531,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",1530,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",1529,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",1520,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1521,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1522,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1523,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1524,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1525,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1514,"Pristerodon",259.51,254.14,-60.8508,-19.3342,1,"Pristerodon"
"Western Cape","ZA",1511,"Pristerodon",259.51,254.14,-60.8508,-19.3342,1,"Pristerodon"
"Eastern Cape","ZA",1505,"Daptocephalus",259.51,251.902,-60.8508,-19.3342,1,"Daptocephalus"
"Western Cape","ZA",1497,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1498,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1499,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1500,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1501,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Northern Cape","ZA",1488,"Emydops",259.51,254.14,-60.8508,-19.3342,1,"Emydops"
"Eastern Cape","ZA",1481,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
